SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_425,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,성과목표관리를 위한 성과계획서 및 성과보고서 작성 시 어떤 사항이 포함되어야 하는가?,"성과목표는 기관의 임무 및 상위ㆍ하위 목표와 연계되어야 하며, 성과지표를 통하여 성과목표의 달성 여부를 측정할 수 있도록 구체적이고 결과지향적으로 설정되어야 한다."
TRAIN_062,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"2024년도 공공질서 및 안전 분야의 재정투자는 전년도 대비 어떻게 변화했으며, 어떤 분야에 특히 재정투자가 집중되었는가?","2024년도 공공질서 및 안전 분야의 재정투자는 24.4조원으로 2023년도 22.9조원 대비 6.5% 증가하였으며, 마약·스토킹 등 민생침해범죄 예방·대응과 재난·안전 사고에 대한 근본적 예방에 집중적으로 투자하였다."
TRAIN_101,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,마약범죄를 근절하기 위해 어떤 방안들이 체계적으로 지원되고 있는가?,"대국민 예방교육, 수사·감시 장비 도입, 중독재활센터 확충 등 예방→수사→재활 전주기를 체계적으로 지원하고 있다."
TRAIN_395,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,"성과지표는 어떤 유형으로 분류되며, 정량적 측정여부에 따라 어떻게 구분되는가?","성과지표는 4가지 유형(투입ㆍ과정ㆍ산출ㆍ결과지표)으로 분류되며, 정량적 측정여부에 따라 정량ㆍ정성지표로 구분된다."
TRAIN_327,고용노동부_조기재취업수당,./train_source/고용노동부_조기재취업수당.pdf,구직급여 수급자는 어떤 조건에서 광역구직활동비를 받을 수 있나요?,구직급여 수급자가 직업안정기관의 소개에 따라 거주지에서 25km 이상 떨어진 곳에서 구직활동을 하면 교통비 등이 지급된다.
TRAIN_333,고용노동부_조기재취업수당,./train_source/고용노동부_조기재취업수당.pdf,사업 집행절차에서 조기재취업수당을 받기 위해 필요한 절차는 무엇인가요?,"조기재취업수당을 받기 위해는 조기재취업수당 신청서 제출, 지급요건 확인, 조기재취업수당 지급 등의 절차가 필요합니다."
TRAIN_453,「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》,./train_source/「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》.pdf,지방교부세와 국고보조금의 차이는 무엇인가요?,"지방교부세는 재정 불균형을 완화하기 위한 것이며, 국고보조금은 국가적 이해관계나 중앙정부와 지방자치단체 간 상호 이해관계를 갖는 사업을 효율적으로 수행하기 위한 것입니다."
TRAIN_468,「FIS 이슈 & 포커스」 22-3호 《재정융자사업》,./train_source/「FIS 이슈 & 포커스」 22-3호 《재정융자사업》.pdf,"2023년 예산안을 기준으로 재정융자 규모는 얼마이며, 총지출 대비 어느 정도를 차지하나요?","2023년도 예산안 기준 17개의 부처가 50개 사업을 통해 총 41.8조원 규모의 융자사업을 수행하고 있으며, 총지출 대비 6.6%를 차지합니다."
TRAIN_170,재정통계해설,./train_source/재정통계해설.pdf,기초재정수지란 무엇을 고려하여 작성되는 지표인가?,기초재정수지는 채무이행에 따른 이자지출을 고려하여 작성되는 지표이다.
TRAIN_125,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,문화예술 부문의 총 예산은 어떻게 변화했는가?,"문화예술 부문의 총 예산은 2023년 40,022억원에서 2024년 40,628억원으로 1.5% 증가하였다."
